date,strategy,family,method,n_selected_factors,mp_lower_edge,mp_upper_edge,top_eigenvalue,avg_abs_zscore,n_active_positions
2022-08-12,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.74476894873391,0.7595500937075212,24
2022-08-12,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.74476894873391,0.6597574867441591,24
2022-08-12,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.74476894873391,0.6597574867441591,24
2022-08-15,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6182858013554607,24
2022-08-15,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,18.059262156409254,0.8911405172620768,24
2022-08-15,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,18.059262156409254,0.8911405172620768,24
2022-08-15,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,18.059262156409254,0.7232182634762351,24
2022-08-15,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,18.059262156409254,0.7232182634762351,24
2022-08-16,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.9397261498160452,24
2022-08-16,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,18.06420936274622,0.99894269993358,24
2022-08-16,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,18.06420936274622,0.99894269993358,24
2022-08-16,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,18.06420936274622,0.9254493585462346,24
2022-08-16,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,18.06420936274622,0.9254493585462346,24
2022-08-17,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8474227130223749,24
2022-08-17,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.76286499992706,0.698504589906535,24
2022-08-17,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.76286499992706,0.698504589906535,24
2022-08-17,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.76286499992706,0.7285748692904054,24
2022-08-17,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.76286499992706,0.7285748692904054,24
2022-08-18,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8622218136409029,24
2022-08-18,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.776499625287663,0.7992508414230106,24
2022-08-18,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.776499625287663,0.7992508414230106,24
2022-08-18,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.776499625287663,0.9209394485969113,24
2022-08-18,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.776499625287663,0.9209394485969113,24
2022-08-19,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8854945104795275,24
2022-08-19,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.86863458853068,0.9615257384080568,24
2022-08-19,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.86863458853068,0.9615257384080568,24
2022-08-19,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.86863458853068,0.8059466681422872,24
2022-08-19,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.86863458853068,0.8059466681422872,24
2022-08-22,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.9652460445942488,24
2022-08-22,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.786074344650288,1.0022355517858612,24
2022-08-22,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.786074344650288,1.0022355517858612,24
2022-08-22,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.786074344650288,0.8964473920229515,24
2022-08-22,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.786074344650288,0.8964473920229515,24
2022-08-23,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.7580183426898621,24
2022-08-23,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.69722308703635,0.6957118353180012,24
2022-08-23,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.69722308703635,0.6957118353180012,24
2022-08-23,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.69722308703635,1.1102414967962535,24
2022-08-23,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.69722308703635,1.1102414967962535,24
2022-08-24,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8822057588319367,24
2022-08-24,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.641532536848977,0.7981620639275008,24
2022-08-24,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.641532536848977,0.7981620639275008,24
2022-08-24,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.641532536848977,0.82777696922115,24
2022-08-24,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.641532536848977,0.82777696922115,24
2022-08-25,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.7786217898297029,24
2022-08-25,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.637017776478437,0.6784800465151374,24
2022-08-25,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.637017776478437,0.6784800465151374,24
2022-08-25,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.637017776478437,0.7511444846550809,24
2022-08-25,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.637017776478437,0.7511444846550809,24
2022-08-26,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8087444435906828,24
2022-08-26,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.82833947053162,1.1134323965022919,24
2022-08-26,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.82833947053162,1.1134323965022919,24
2022-08-26,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.82833947053162,0.7853907295595498,24
2022-08-26,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.82833947053162,0.7853907295595498,24
2022-08-29,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.7565656665372832,24
2022-08-29,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.815441124278916,0.8943057711292867,24
2022-08-29,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.815441124278916,0.8943057711292867,24
2022-08-29,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.815441124278916,0.7955660431635659,24
2022-08-29,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.815441124278916,0.7955660431635659,24
2022-08-30,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.9570850634372485,24
2022-08-30,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.85651475789314,0.8090220415962398,24
2022-08-30,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.85651475789314,0.8090220415962398,24
2022-08-30,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.85651475789314,0.9491894216638425,24
2022-08-30,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.85651475789314,0.9491894216638425,24
2022-08-31,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6774076679125905,24
2022-08-31,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.98178712148494,0.5436134832915226,24
2022-08-31,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.98178712148494,0.5436134832915226,24
2022-08-31,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.98178712148494,0.6065919818901779,24
2022-08-31,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.98178712148494,0.6065919818901779,24
