date,ticker,sector,close,volume,benchmark_close
2024-03-04,MSFT,technology,414.92,17595960.0,512.3
2024-03-04,NFLX,communication_services,61.583,30203060.0,512.3
2024-03-04,ORCL,technology,114.06,6588062.0,512.3
2024-03-04,PFE,healthcare,25.89,86777720.0,512.3
2024-03-04,UNP,industrials,253.47,1834919.0,512.3
2024-03-04,UPS,industrials,150.61,4562398.0,512.3
2024-03-04,WMT,consumer,59.3,16033300.0,512.3
2024-03-05,AAPL,technology,170.12,95132360.0,507.18
2024-03-05,ABBV,healthcare,179.16,5309903.0,507.18
2024-03-05,BAC,financials,35.39,47591600.0,507.18
2024-03-05,BLK,financials,826.94,497598.0,507.18
2024-03-05,CAT,industrials,333.53,2029966.0,507.18
2024-03-05,COST,consumer,759.95,2353351.0,507.18
2024-03-05,CSCO,technology,48.95,18101300.0,507.18
2024-03-05,DIS,communication_services,112.87,14929580.0,507.18
2024-03-05,GOOGL,communication_services,132.67,40194760.0,507.18
2024-03-05,GS,financials,390.91,2697770.0,507.18
2024-03-05,HD,consumer,378.45,3011731.0,507.18
2024-03-05,HON,industrials,187.0695,2532241.0,507.18
2024-03-05,JNJ,healthcare,159.97,8298182.0,507.18
2024-03-05,JPM,financials,188.55,6617832.0,507.18
2024-03-05,MCD,consumer,292.54,2969609.0,507.18
2024-03-05,META,communication_services,490.22,15325300.0,507.18
2024-03-05,MRK,healthcare,122.83,8277870.0,507.18
2024-03-05,MSFT,technology,402.65,26919180.0,507.18
2024-03-05,NFLX,communication_services,59.85,38495630.0,507.18
2024-03-05,ORCL,technology,110.94,8241978.0,507.18
2024-03-05,PFE,healthcare,26.08,73646090.0,507.18
2024-03-05,UNP,industrials,253.7,1368806.0,507.18
2024-03-05,UPS,industrials,149.66,3614445.0,507.18
2024-03-05,WMT,consumer,60.04,19676880.0,507.18
2024-03-06,AAPL,technology,169.12,68587710.0,509.75
2024-03-06,ABBV,healthcare,181.06,6047148.0,509.75
2024-03-06,BAC,financials,35.42,49149720.0,509.75
2024-03-06,BLK,financials,830.4,538055.0,509.75
2024-03-06,CAT,industrials,335.63,1542427.0,509.75
2024-03-06,COST,consumer,773.24,2400644.0,509.75
2024-03-06,CSCO,technology,49.17,20903550.0,509.75
2024-03-06,DIS,communication_services,110.06,14743880.0,509.75
2024-03-06,GOOGL,communication_services,131.4,35318610.0,509.75
2024-03-06,GS,financials,389.57,2692376.0,509.75
2024-03-06,HD,consumer,377.44,2496251.0,509.75
2024-03-06,HON,industrials,190.0554,2713389.0,509.75
2024-03-06,JNJ,healthcare,159.34,5773683.0,509.75
2024-03-06,JPM,financials,189.53,7572891.0,509.75
2024-03-06,MCD,consumer,292.93,2347965.0,509.75
2024-03-06,META,communication_services,496.09,11757930.0,509.75
2024-03-06,MRK,healthcare,123.75,8251362.0,509.75
2024-03-06,MSFT,technology,402.09,22344150.0,509.75
2024-03-06,NFLX,communication_services,59.769,24695920.0,509.75
2024-03-06,ORCL,technology,112.27,6706372.0,509.75
2024-03-06,PFE,healthcare,27.19,84919460.0,509.75
2024-03-06,UNP,industrials,251.0,1911012.0,509.75
2024-03-06,UPS,industrials,152.55,3471243.0,509.75
2024-03-06,WMT,consumer,60.57,12698710.0,509.75
2024-03-07,AAPL,technology,169.0,71765060.0,514.81
2024-03-07,ABBV,healthcare,180.57,6125187.0,514.81
2024-03-07,BAC,financials,35.63,35900670.0,514.81
2024-03-07,BLK,financials,831.7,384701.0,514.81
2024-03-07,CAT,industrials,340.22,1732485.0,514.81
2024-03-07,COST,consumer,785.59,4187879.0,514.81
2024-03-07,CSCO,technology,48.9,21224700.0,514.81
2024-03-07,DIS,communication_services,110.18,8609290.0,514.81
2024-03-07,GOOGL,communication_services,134.38,37738210.0,514.81
2024-03-07,GS,financials,388.43,2033080.0,514.81
2024-03-07,HD,consumer,376.55,2368480.0,514.81
2024-03-07,HON,industrials,192.0555,2447565.0,514.81
2024-03-07,JNJ,healthcare,158.87,5188726.0,514.81
2024-03-07,JPM,financials,187.87,7618277.0,514.81
2024-03-07,MCD,consumer,291.11,2237730.0,514.81
2024-03-07,META,communication_services,512.19,18586440.0,514.81
2024-03-07,MRK,healthcare,123.99,8982273.0,514.81
2024-03-07,MSFT,technology,409.14,18718480.0,514.81
2024-03-07,NFLX,communication_services,60.851,27428050.0,514.81
2024-03-07,ORCL,technology,114.54,7670135.0,514.81
2024-03-07,PFE,healthcare,26.79,46423820.0,514.81
2024-03-07,UNP,industrials,249.04,2395772.0,514.81
2024-03-07,UPS,industrials,153.41,3514810.0,514.81
2024-03-07,WMT,consumer,60.36,16195300.0,514.81
2024-03-08,AAPL,technology,170.73,76267040.0,511.72
2024-03-08,ABBV,healthcare,178.85,6195824.0,511.72
2024-03-08,BAC,financials,35.6,42769940.0,511.72
2024-03-08,BLK,financials,836.12,396217.0,511.72
2024-03-08,CAT,industrials,339.19,2307423.0,511.72
2024-03-08,COST,consumer,725.56,8590163.0,511.72
2024-03-08,CSCO,technology,49.5,19316210.0,511.72
2024-03-08,DIS,communication_services,110.32,10009190.0,511.72
2024-03-08,GOOGL,communication_services,135.41,39370390.0,511.72
2024-03-08,GS,financials,386.99,1657387.0,511.72
2024-03-08,HD,consumer,373.35,2162906.0,511.72
2024-03-08,HON,industrials,190.2924,2139383.0,511.72
2024-03-08,JNJ,healthcare,159.52,5283951.0,511.72
2024-03-08,JPM,financials,188.22,6172199.0,511.72
2024-03-08,MCD,consumer,292.55,2482336.0,511.72
2024-03-08,META,communication_services,505.95,18597060.0,511.72
2024-03-08,MRK,healthcare,123.5,9822679.0,511.72
2024-03-08,MSFT,technology,406.22,18002190.0,511.72
2024-03-08,NFLX,communication_services,60.482,27772430.0,511.72
2024-03-08,ORCL,technology,112.42,8312943.0,511.72
2024-03-08,PFE,healthcare,27.22,45906630.0,511.72
2024-03-08,UNP,industrials,250.96,2409115.0,511.72
2024-03-08,UPS,industrials,153.96,3449102.0,511.72
2024-03-08,WMT,consumer,60.12,12143650.0,511.72
2024-03-11,AAPL,technology,172.75,60139470.0,511.28
2024-03-11,ABBV,healthcare,179.63,5134817.0,511.28
2024-03-11,BAC,financials,35.89,34131530.0,511.28
2024-03-11,BLK,financials,825.16,428843.0,511.28
2024-03-11,CAT,industrials,334.97,1868119.0,511.28
2024-03-11,COST,consumer,714.08,3762489.0,511.28
2024-03-11,CSCO,technology,50.22,17715070.0,511.28
2024-03-11,DIS,communication_services,112.31,8794307.0,511.28
2024-03-11,GOOGL,communication_services,137.67,32437770.0,511.28
2024-03-11,GS,financials,386.16,1654403.0,511.28
2024-03-11,HD,consumer,371.52,2833804.0,511.28
2024-03-11,HON,industrials,189.8564,2443183.0,511.28
2024-03-11,JNJ,healthcare,161.23,4620826.0,511.28
2024-03-11,JPM,financials,188.29,5762569.0,511.28
2024-03-11,MCD,consumer,294.82,2893336.0,511.28
2024-03-11,META,communication_services,483.59,20428270.0,511.28
2024-03-11,MRK,healthcare,122.77,7769251.0,511.28
2024-03-11,MSFT,technology,404.52,16120750.0,511.28
2024-03-11,NFLX,communication_services,60.093,25009400.0,511.28
2024-03-11,ORCL,technology,114.13,20438340.0,511.28
2024-03-11,PFE,healthcare,28.37,52600150.0,511.28
2024-03-11,UNP,industrials,249.87,1539550.0,511.28
2024-03-11,UPS,industrials,154.75,3265960.0,511.28
2024-03-11,WMT,consumer,60.66,14153970.0,511.28
2024-03-12,AAPL,technology,173.23,59825370.0,516.78
2024-03-12,ABBV,healthcare,180.92,5391070.0,516.78
2024-03-12,BAC,financials,35.96,29260370.0,516.78
2024-03-12,BLK,financials,829.59,438668.0,516.78
2024-03-12,CAT,industrials,337.24,1646140.0,516.78
2024-03-12,COST,consumer,736.88,3727425.0,516.78
2024-03-12,CSCO,technology,50.07,17590420.0,516.78
2024-03-12,DIS,communication_services,112.46,8084958.0,516.78
2024-03-12,GOOGL,communication_services,138.5,27563350.0,516.78
2024-03-12,GS,financials,388.18,1703880.0,516.78
2024-03-12,HD,consumer,374.54,2843841.0,516.78
2024-03-12,HON,industrials,188.7568,2938803.0,516.78
2024-03-12,JNJ,healthcare,162.74,8018736.0,516.78
2024-03-12,JPM,financials,189.84,5708384.0,516.78
2024-03-12,MCD,consumer,294.31,2233076.0,516.78
2024-03-12,META,communication_services,499.75,15448230.0,516.78
2024-03-12,MRK,healthcare,122.66,11621800.0,516.78
2024-03-12,MSFT,technology,415.28,22457000.0,516.78
2024-03-12,NFLX,communication_services,61.108,28216310.0,516.78
2024-03-12,ORCL,technology,127.54,48536080.0,516.78
2024-03-12,PFE,healthcare,28.01,48758230.0,516.78
2024-03-12,UNP,industrials,251.18,1633862.0,516.78
2024-03-12,UPS,industrials,157.38,3879659.0,516.78
2024-03-12,WMT,consumer,61.41,16613060.0,516.78
2024-03-13,AAPL,technology,171.13,52488690.0,515.97
2024-03-13,ABBV,healthcare,179.86,5987932.0,515.97
2024-03-13,BAC,financials,36.08,38289550.0,515.97
2024-03-13,BLK,financials,825.99,510896.0,515.97
2024-03-13,CAT,industrials,341.52,1818943.0,515.97
2024-03-13,COST,consumer,734.2,2270262.0,515.97
2024-03-13,CSCO,technology,50.11,16669860.0,515.97
2024-03-13,DIS,communication_services,112.5,7267902.0,515.97
2024-03-13,GOOGL,communication_services,139.79,23347210.0,515.97
2024-03-13,GS,financials,392.31,2370677.0,515.97
2024-03-13,HD,consumer,378.99,3761407.0,515.97
2024-03-13,HON,industrials,189.3255,2537637.0,515.97
2024-03-13,JNJ,healthcare,161.1,6260000.0,515.97
2024-03-13,JPM,financials,191.38,7795535.0,515.97
2024-03-13,MCD,consumer,282.86,5441262.0,515.97
2024-03-13,META,communication_services,495.57,12090660.0,515.97
2024-03-13,MRK,healthcare,122.16,9186104.0,515.97
2024-03-13,MSFT,technology,415.1,17115930.0,515.97
2024-03-13,NFLX,communication_services,60.945,21920940.0,515.97
2024-03-13,ORCL,technology,125.52,15870350.0,515.97
2024-03-13,PFE,healthcare,28.22,39272980.0,515.97
2024-03-13,UNP,industrials,249.25,2129046.0,515.97
2024-03-13,UPS,industrials,154.76,4244771.0,515.97
2024-03-13,WMT,consumer,61.28,15935190.0,515.97
2024-03-14,AAPL,technology,173.0,72913510.0,514.95
2024-03-14,ABBV,healthcare,181.2,6999445.0,514.95
2024-03-14,BAC,financials,35.69,40178050.0,514.95
2024-03-14,BLK,financials,808.8,859047.0,514.95
2024-03-14,CAT,industrials,341.92,2110175.0,514.95
2024-03-14,COST,consumer,731.95,1826066.0,514.95
2024-03-14,CSCO,technology,49.79,17239400.0,514.95
2024-03-14,DIS,communication_services,112.06,10520460.0,514.95
2024-03-14,GOOGL,communication_services,143.1,42753390.0,514.95
2024-03-14,GS,financials,388.61,3029744.0,514.95
2024-03-14,HD,consumer,375.27,3877542.0,514.95
2024-03-14,HON,industrials,186.1216,3838212.0,514.95
2024-03-14,JNJ,healthcare,159.21,6988264.0,514.95
2024-03-14,JPM,financials,187.97,10310950.0,514.95
2024-03-14,MCD,consumer,281.73,4659308.0,514.95
2024-03-14,META,communication_services,491.83,12620010.0,514.95
2024-03-14,MRK,healthcare,120.51,10132540.0,514.95
2024-03-14,MSFT,technology,425.22,34157300.0,514.95
2024-03-14,NFLX,communication_services,61.301,31204520.0,514.95
2024-03-14,ORCL,technology,125.53,10965900.0,514.95
2024-03-14,PFE,healthcare,28.13,36427960.0,514.95
2024-03-14,UNP,industrials,246.06,2519663.0,514.95
